[2017/02/19 19:21:36] [§2HUB§f] fybit§r executed //paste at Location{world=CraftWorld{name=world},x=-609.4883254508587,y=66.0,z=591.264672629707,pitch=3.0000029,yaw=180.6018}
[2017/02/19 19:22:19] [§2HUB§f] fybit§r executed //paste at Location{world=CraftWorld{name=world},x=-609.4239535945422,y=66.0,z=591.3943239308788,pitch=4.3500195,yaw=178.95105}
[2017/02/19 20:40:36] [§2HUB§f] fybit§r executed //set 79 at Location{world=CraftWorld{name=world},x=-611.3558350983743,y=65.11880984193846,z=591.2860103597984,pitch=-2.5500088,yaw=276.60352}
[2017/02/19 20:40:52] [§2HUB§f] fybit§r executed //set 79 at Location{world=CraftWorld{name=world},x=-613.4268320284582,y=64.0012169040893,z=564.9927290067702,pitch=-16.800005,yaw=293.55005}
[2017/02/19 20:41:05] [§2HUB§f] fybit§r executed //cut at Location{world=CraftWorld{name=world},x=-611.327996833795,y=65.11880984193846,z=590.2262708431913,pitch=7.200001,yaw=274.9463}
[2017/02/19 20:41:12] [§2HUB§f] fybit§r executed //cut at Location{world=CraftWorld{name=world},x=-611.0607592446031,y=71.11314297533555,z=565.1050145039264,pitch=-5.400006,yaw=303.59595}
[2017/02/19 20:41:15] [§2HUB§f] fybit§r executed //set 79 at Location{world=CraftWorld{name=world},x=-612.6738949807533,y=71.11314297533555,z=564.8120876949627,pitch=-5.400006,yaw=303.59595}
[2017/02/19 20:41:25] [§2HUB§f] fybit§r executed //set 79 at Location{world=CraftWorld{name=world},x=-614.6264539638092,y=71.11314297533555,z=591.1523663565705,pitch=-11.4000025,yaw=243.896}
[2017/02/19 20:43:09] [§2HUB§f] fybit§r executed //set 174 at Location{world=CraftWorld{name=world},x=-611.1141878557655,y=72.2774848279019,z=591.0662657751444,pitch=7.7999983,yaw=281.40112}
[2017/02/19 20:44:08] [§2HUB§f] fybit§r executed /spawn at Location{world=CraftWorld{name=world},x=-631.6182977295729,y=73.06669781894055,z=588.3504272827635,pitch=36.450005,yaw=100.35205}
